Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
65309297,06/19/2025 09:49:37 PM,,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,11232,165 27 STREET,27 STREET,3 AVENUE,4 AVENUE,3 AVENUE,4 AVENUE,ADDRESS,BROOKLYN,27 STREET,,In Progress,,,,07 BROOKLYN,3006570060,BROOKLYN,984187,179729,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.659991295541495,-74.00022707020744,"(40.659991295541495, -74.00022707020744)"
65308271,06/19/2025 03:44:50 PM,,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10002,52 ALLEN STREET,ALLEN STREET,HESTER STREET,GRAND STREET,HESTER STREET,GRAND STREET,ADDRESS,NEW YORK,ALLEN STREET,,In Progress,,,,03 MANHATTAN,1003080021,MANHATTAN,986589,200445,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71685164680811,-73.99156237594559,"(40.71685164680811, -73.99156237594559)"
65311419,06/19/2025 03:38:26 PM,,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10019,730 10 AVENUE,10 AVENUE,WEST   49 STREET,WEST   50 STREET,WEST   49 STREET,WEST   50 STREET,ADDRESS,NEW YORK,10 AVENUE,,In Progress,,,,04 MANHATTAN,1010590062,MANHATTAN,986501,217823,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.76454995625196,-73.99187400861467,"(40.76454995625196, -73.99187400861467)"
65313430,06/19/2025 03:31:14 PM,,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,11218,135 OCEAN PARKWAY,OCEAN PARKWAY,CATON AVENUE,CHURCH AVENUE,CATON AVENUE,CHURCH AVENUE,ADDRESS,BROOKLYN,OCEAN PARKWAY,,In Progress,,,,12 BROOKLYN,3053290072,BROOKLYN,991320,175041,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.647120936755805,-73.9745225918572,"(40.647120936755805, -73.9745225918572)"
65307284,06/19/2025 01:44:54 PM,,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10019,331 WEST   57 STREET,WEST   57 STREET,8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,ADDRESS,NEW YORK,WEST   57 STREET,,In Progress,,,,04 MANHATTAN,1010487504,MANHATTAN,988708,218774,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.76715936779602,-73.9839062243078,"(40.76715936779602, -73.9839062243078)"
65308273,06/19/2025 11:26:50 AM,,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,11419,107-28 118 STREET,118 STREET,107 AVENUE,109 AVENUE,107 AVENUE,109 AVENUE,ADDRESS,SOUTH RICHMOND HILL,118 STREET,,In Progress,,,,10 QUEENS,4095970019,QUEENS,1033075,188443,ONLINE,Unspecified,QUEENS,,,,,,,,40.6837746105154,-73.82395770661367,"(40.6837746105154, -73.82395770661367)"
65310370,06/19/2025 10:35:45 AM,,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10456,1112 BROOK AVENUE,BROOK AVENUE,EAST  166 STREET,EAST  167 STREET,EAST  166 STREET,EAST  167 STREET,ADDRESS,BRONX,BROOK AVENUE,,In Progress,,,,03 BRONX,2023920066,BRONX,1009035,241558,PHONE,Unspecified,BRONX,,,,,,,,40.82966158698384,-73.91043988487513,"(40.82966158698384, -73.91043988487513)"
65313433,06/19/2025 08:17:05 AM,,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,11215,10 AVENUE,10 AVENUE,10 AVENUE,PROSPECT AVENUE,10 AVENUE,PROSPECT AVENUE,INTERSECTION,,,,In Progress,,,,07 BROOKLYN,,BROOKLYN,989934,178814,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.65747799761902,-73.97951399293008,"(40.65747799761902, -73.97951399293008)"
65306278,06/19/2025 07:17:34 AM,,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10013,369 BROOME STREET,BROOME STREET,ELIZABETH STREET,MOTT STREET,ELIZABETH STREET,MOTT STREET,ADDRESS,NEW YORK,BROOME STREET,,In Progress,,,,02 MANHATTAN,1004700009,MANHATTAN,985373,201642,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72013736205523,-73.99594873067926,"(40.72013736205523, -73.99594873067926)"
65311417,06/19/2025 07:17:04 AM,,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10012,277 MOTT STREET,MOTT STREET,PRINCE STREET,EAST HOUSTON STREET,PRINCE STREET,EAST HOUSTON STREET,ADDRESS,NEW YORK,MOTT STREET,,In Progress,,,,02 MANHATTAN,1005090034,MANHATTAN,985775,203047,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72399368737215,-73.99449818057305,"(40.72399368737215, -73.99449818057305)"
65312423,06/19/2025 07:10:20 AM,,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10014,1 7 AVENUE SOUTH,7 AVENUE SOUTH,CARMINE STREET,LEROY STREET,CARMINE STREET,LEROY STREET,ADDRESS,NEW YORK,7 AVENUE SOUTH,,In Progress,,,,02 MANHATTAN,1005820043,MANHATTAN,982840,205081,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72957654135774,-74.00508735430294,"(40.72957654135774, -74.00508735430294)"
65313431,06/19/2025 07:06:31 AM,,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10014,296 BLEECKER STREET,BLEECKER STREET,BARROW STREET,GROVE STREET,BARROW STREET,GROVE STREET,ADDRESS,NEW YORK,BLEECKER STREET,,In Progress,,The Department of Sanitation (DSNY) inspected but didn't see a violation of their rules. Your Service Request has been closed.,06/19/2025 07:06:38 AM,02 MANHATTAN,1005880029,MANHATTAN,983218,206140,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.73248328907912,-74.00372367280929,"(40.73248328907912, -74.00372367280929)"
65312424,06/19/2025 07:06:16 AM,,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10014,69 7 AVENUE SOUTH,7 AVENUE SOUTH,BLEECKER STREET,BARROW STREET,BLEECKER STREET,BARROW STREET,ADDRESS,NEW YORK,7 AVENUE SOUTH,,In Progress,,The Department of Sanitation (DSNY) inspected but didn't see a violation of their rules. Your Service Request has been closed.,06/19/2025 07:06:23 AM,02 MANHATTAN,1005900054,MANHATTAN,983264,206064,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7322746929856,-74.00355768400813,"(40.7322746929856, -74.00355768400813)"
65311418,06/19/2025 07:05:46 AM,,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10014,72 GROVE STREET,GROVE STREET,7 AVENUE SOUTH,WASHINGTON PLACE,7 AVENUE SOUTH,WASHINGTON PLACE,ADDRESS,NEW YORK,GROVE STREET,,In Progress,,,,02 MANHATTAN,1005910020,MANHATTAN,983475,206433,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.733287528340185,-74.00279639656732,"(40.733287528340185, -74.00279639656732)"
65307282,06/19/2025 07:00:33 AM,,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10014,80 GROVE STREET,GROVE STREET,WASHINGTON PLACE,WAVERLY PLACE,WASHINGTON PLACE,WAVERLY PLACE,ADDRESS,NEW YORK,GROVE STREET,,In Progress,,,,02 MANHATTAN,1005920040,MANHATTAN,983577,206479,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.73341379537898,-74.002428359298,"(40.73341379537898, -74.002428359298)"
65310367,06/19/2025 07:00:13 AM,,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10011,131 7 AVENUE,7 AVENUE,WEST   17 STREET,WEST   18 STREET,WEST   17 STREET,WEST   18 STREET,ADDRESS,NEW YORK,7 AVENUE,,In Progress,,,,04 MANHATTAN,1007937508,MANHATTAN,984818,209211,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.74091246702266,-73.99795027738563,"(40.74091246702266, -73.99795027738563)"
